report_type,reported_at,name,gender,age_band,language,last_seen_location,reporting_center,reporter_mobile,physical_description,remarks,status
found,2027-07-14 15:06,Prakash Nair,Male,71-80,Telugu,Trimbakeshwar Approach,Adgaon Kho-Ya-Paya,+91 8266944844,"Woman in green saree, has tilak on forehead",Announcement made on PA,Reunited
found,2027-07-30 17:17,Mohan Rao,Male,80+,Telugu,Panchavati Circle,Trimbakeshwar Kho-Ya-Paya Kendra,+91 7275452091,Lost near ghats,,Reunited
found,2027-08-10 10:50,Sohan Kumar,Male,13-17,Bengali,Gauri Patangan,Nashik Road Center,,"Child in red shirt, about 8-10 years, crying",GGTalk app used,Reunited
found,2027-07-24 20:01,Vimla Reddy,Female,61-70,Bhojpuri,Sadhugram Gate 1,Panchavati Center,,"Old man confused, keeps asking for Ramkund",,Reunited
found,2027-08-10 06:14,,Male,0-12,Marathi,Trimbakeshwar Approach,Central Control Room,+91 6176228245,"Child girl, pigtails, pink frock, about 6 years",GGTalk app used,Reunited
found,2027-08-08 08:03,,Female,18-40,Bhojpuri,Panchavati Circle,Central Control Room,,"Child in red shirt, about 8-10 years, crying",Bharat Bharati volunteer handled,Reunited
found,2027-08-07 12:37,Gaurav Shah,Male,80+,Marathi,Main Police Chowki,Central Control Room,,"Girl child about 5 years, red bindi, crying",Found near ghat,Reunited
found,2027-07-07 09:16,Santosh Agarwal,Male,71-80,Maithili,Sadhugram Gate 1,Bharat Bharati Control Room,+91 8812308209,Child missing,Police assisted,Reunited
found,2027-07-03 14:23,,Female,0-12,Bhojpuri,Kushavart Kund,Panchavati Center,+91 9236843584,"Old woman, white clothes, lost memory",Bharat Bharati volunteer handled,Reunited
found,2027-07-13 17:21,Ankit Das,Male,41-60,Tamil,Madsangvi Transit,Bharat Bharati Control Room,,Man from UP,GGTalk app used,Reunited
found,2027-07-08 14:32,Kanta Desai,Female,41-60,Bengali,Takli Sangam,Adgaon Kho-Ya-Paya,+91 8812306873,"Child girl, pigtails, pink frock, about 6 years",Cross-center transfer needed,Reunited
found,2027-07-16 14:14,Pushpa Desai,Female,13-17,Hindi,Rajur Bahula,Ramkund Kho-Ya-Paya Kendra,+91 8200273738,"Wearing white saree, grey hair, speaks Hindi",,Reunited
found,2027-08-02 18:53,Gaurav Singh,Male,71-80,Kannada,Panchavati Circle,Rajur Bahula Center,+91 9757830420,"Young boy in blue uniform, school bag",Found near ghat,Reunited
found,2027-08-06 17:30,Suresh Joshi,Male,41-60,Bengali,Ramkund Ghat,Panchavati Center,,"Old man confused, keeps asking for Ramkund",Bharat Bharati volunteer handled,Pending
found,2027-07-21 15:48,,Male,61-70,Bengali,Kapila Sangam,Sadhugram Lost Found,+91 7588229686,Man from UP,GGTalk app used,Reunited
found,2027-07-26 17:45,Shyam Pillai,Male,61-70,Bhojpuri,Rajur Bahula,Bharat Bharati Control Room,+91 8216070149,"Old man, hearing aid, wearing full pants shirt",Family waiting at center,Reunited
found,2027-07-06 13:56,Rohit Das,Male,61-70,Kannada,Dasak Ghat,Trimbakeshwar Kho-Ya-Paya Kendra,+91 8363598427,Man from UP,Announcement made on PA,Reunited
