report_type,reported_at,name,gender,age_band,language,last_seen_location,reporting_center,reporter_mobile,physical_description,remarks,status
missing,2027-07-28 06:01,Savita Desai,Female,41-60,Maithili,Trimbakeshwar Approach,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6734036506,"Man in saffron kurta, has rudraksha mala",GGTalk app used,Reunited
missing,2027-08-12 12:49,,Female,41-60,Marathi,Takli Sangam,Bharat Bharati Control Room,+91 6149203558,"Man in saffron kurta, has rudraksha mala",,Reunited
missing,2027-08-11 19:09,,Female,80+,Maithili,Madsangvi Transit,Ramkund Kho-Ya-Paya Kendra,+91 9524806516,"Man in saffron kurta, has rudraksha mala",Family waiting at center,Reunited
missing,2027-07-19 18:10,Savita Rao,Female,61-70,Tamil,Dasak Ghat,Central Control Room,+91 8219778234,Child missing,GGTalk app used,Unresolved
missing,2027-08-03 18:13,Kamla Gupta,Female,61-70,Tamil,Panchavati Circle,Trimbakeshwar Kho-Ya-Paya Kendra,+91 7384602384,Old woman,GGTalk app used,Reunited
missing,2027-07-07 18:22,Manoj Roy,Male,61-70,Hindi,Gauri Patangan,Adgaon Kho-Ya-Paya,,"Boy about 12, wearing school dress",Bharat Bharati volunteer handled,Reunited
missing,2027-07-13 14:13,,Female,41-60,Maithili,Kushavart Kund,Nashik Road Center,+91 9266211829,Child missing,Announcement made on PA,Reunited
missing,2027-07-30 08:04,Ravi Dubey,Male,41-60,Tamil,Panchavati Circle,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6110002396,"Man in yellow kurta, has tilak, speaks Bhojpuri",Brought by volunteer,Reunited
missing,2027-07-01 15:49,Ajay Sinha,Male,61-70,Kannada,Sadhugram Gate 2,Sadhugram Lost Found,+91 8147337803,"Young boy in blue uniform, school bag",,Reunited
missing,2027-07-12 15:50,Kanta Kumar,Female,41-60,Gujarati,Gauri Patangan,Trimbakeshwar Kho-Ya-Paya Kendra,+91 9126614158,"Woman speaking Tamil, wearing silk saree",Announcement made on PA,Reunited
missing,2027-08-08 21:07,Ramesh Singh,Male,41-60,Tamil,Kapila Sangam,Nashik Road Center,,"Old woman, white clothes, lost memory",GGTalk app used,Reunited
missing,2027-07-19 11:27,Durga Desai,Female,61-70,Telugu,Trimbak Road,Nashik Road Center,+91 6426283245,,Announcement made on PA,Reunited
missing,2027-08-14 05:57,Rahul Reddy,Male,71-80,Gujarati,Sadhugram Gate 1,Adgaon Kho-Ya-Paya,+91 7804436922,"Man in saffron kurta, has rudraksha mala",GGTalk app used,Reunited
